Item,Description,Part Number,Units,Quantity,Supply Rate,Install Rate,Total
3000,Electronic Surveillance Cameras and Peripherals,,,,,,
3010,Camera - Type 1 - Axis Vandal Proof Dome        M3088-V Dome Camera <-- price for this camera,,Qty,0,"R10,465.00",R750.00,R0.00
3020,Camera - Type 2 - AXIS Fixed Camera        P1465-LE,,Qty,0,"R12,845.50",R875.00,R0.00
3030,Camera - Type 3 - Axis PTZ Camera - Q6075-E <-- cheaper alternative,,Qty,0,"R39,675.00","R1,125.00",R0.00
3040,Electronic Security Surveillance Camera Accessories - Type 1 - PSU  - RD-125-1224 - 24V AC/DC 3.7A PSU,,Qty,0,"R1,150.00",R250.00,R0.00
,Painting Cameras Black - Only models not available in black,,Qty,0,R715.00,,R0.00
,,,,,,,
,,,,,,,R0.00
