Item,Description,Part Number,Units,Quantity,Supply Rate,Install Rate,Total
2000,CCTV Licensing,,,,,,
2010,System Licence - Type 1 Milestone XProtect Professional Camera License  XPPCL,,Qty,0,"R1,955.00",R0.00,R0.00
2020,Additional Licence - Type 2 - CCTV licences (perimeter Defender) 0333-608,,Qty,0,"R5,393.50",R0.00,R0.00
2030,System Licence  - Protect Corporate Base License,,Qty,0,"R36,825.30",R0.00,R0.00
2040,System Licence - Axis License Plate Verifier	01574-001,,Qty,0,"R8,664.10",R0.00,R0.00
2050,System Licence - Milestone Interconnect,,Qty,0,R793.50,R0.00,R0.00
,,,,,,,
,,,,,,,R0.00
