Item,Description,Part Number,Units,Quantity,Supply Rate,Install Rate,Total
,,,,,,,
8000,Equipment Rack,,,,,,
,,,,,,,
8010,Equipment Rack - Type 1 20 U,,Qty,0,"R5,400.00",R850.00,R0.00
8020,Equipment Rack - Type 2 45 U Open Rack,,Qty,0,"R11,400.00","R1,000.00",R0.00
8030,Cat6A Patch Panel - Type 1 - 760237032 - NPP-6A-DM-1U-24 -24 port Category 6A patch panel,,Qty,0,"R2,064.00",R425.00,R0.00
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,R0.00
