Item,Description,Part Number,Units,Quantity,Supply Rate,Install Rate,Total
,,,,,,,
9000,Structural Components,,,,,,
9010,Structural Components - Type 1 Gooseneck for vehicles. Reader/Intercom Mounting plate,,Qty,0,"R2,125.00",R850.00,R0.00
9020,Structural Components - Type 2 - Telecom Frame and installation,,Qty,0,"R32,334.00","R3,144.00",R0.00
,,,,,,,
,,,,,,,
,,,,,,,R0.00
