Item,Description,Part Number,Units,Quantity,Supply Rate,Install Rate,Total
1000,Electronic Security System,,,,,,
1010,Milestone Server and Storage combo HE1000R-96TB,,Qty,0,"R283,176.00","R1,000.00",R0.00
1020,Milestone Management Server,,Qty,0,"R137,540.00",R750.00,R0.00
1100,Security Control Room - Operator,,,,,,
1110,Workstation - Type 1 Dell Workstation T3680,,Qty,0,"R56,235.00",R500.00,R0.00
1120,Video Monitor - Type 1 23 inch LED,,Qty,0,"R2,880.00",R375.00,R0.00
1130,Video Monitor - Type 2 43 Inch LED,,Qty,0,"R8,400.00",R525.00,R0.00
1140,Wall Mounting Bracket - 42-120-inch Screen Mount,,Qty,0,"R9,360.00",R250.00,R0.00
1150,"Video wall HDMI Cables, adapters, consumables to complete the install",,Qty,0,"R15,000.00","R3,750.00",R0.00
,,,,,,,
,,,,,,,R0.00
