Item,Description,Part Number,Units,Quantity,Supply Rate,Install Rate,Total
,,,,,,,
11000,Power Distribution Units,,,,,,
,,,,,,,
11100,PDU - Type 1 - PDU3EVN6G60,,Qty,0,"R4,200.00",R350.00,R0.00
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,R0.00
